title,authors,arxiv_id
Combinatorial Bandits with Relative Feedback ,Aadirupa Saha;Aditya Gopalan,
Generalized Block-Diagonal Structure Pursuit: Learning Soft Latent Task Assignment against Negative Transfer,Zhiyong Yang;Qianqian Xu;Yangbangyan Jiang;Xiaochun Cao;Qingming Huang,
General Proximal Incremental Aggregated Gradient Algorithms: Better and Novel Results under General Scheme,Tao Sun;Yuejiao Sun;Dongsheng Li;Qing Liao,
Polynomial Cost of Adaptation for X-Armed Bandits,Hedi Hadiji,
MaCow: Masked Convolutional Generative Flow,Xuezhe Ma;Xiang Kong;Shanghang Zhang;Eduard Hovy,
Deep Active Learning with a Neural Architecture Search,Yonatan Geifman;Ran El-Yaniv,http://arxiv.org/abs/1811.07579v2
Efficiently escaping saddle points on manifolds,Christopher Criscitiello;Nicolas Boumal,
Learning to Propagate for Graph Meta-Learning,LU LIU;Tianyi Zhou;Guodong Long;Jing Jiang;Chengqi Zhang,
Dynamic Ensemble Modeling Approach to Nonstationary Neural Decoding in Brain-Computer Interfaces,Yu Qi;Bin Liu;Yueming Wang;Gang Pan,
Divergence-Augmented Policy Optimization,Qing Wang;Yingru Li;Jiechao Xiong;Tong Zhang,
Selecting the independent coordinates of manifolds with large aspect ratios,Yu-Chia Chen;Marina Meila,
Towards a Zero-One Law for Column Subset Selection,Zhao Song;David Woodruff;Peilin Zhong,
Copulas as High-Dimensional Generative Models: Vine Copula Autoencoders,Natasa Tagasovska;Damien Ackerer;Thibault Vatter,http://arxiv.org/abs/1906.05423v1
Locally Private Gaussian Estimation,Matthew Joseph;Janardhan Kulkarni;Jieming Mao;Steven Wu,
Fast AutoAugment,Sungbin Lim;Ildoo Kim;Taesup Kim;Chiheon Kim;Sungwoong  Kim,
Global Convergence of Least Squares EM for Demixing Two Log-Concave Densities,Wei Qian;Yuqian Zhang;Yudong Chen,
Control Batch Size and Learning Rate to Generalize Well: Theoretical and Empirical Evidence,Fengxiang He;Tongliang Liu;Dacheng Tao,
Graph-Based Semi-Supervised Learning with Non-ignorable Non-response,Fan Zhou;Tengfei Li;Haibo Zhou;Hongtu Zhu;Ye Jieping,
Non-Asymptotic Gap-Dependent Regret Bounds for Tabular MDPs,Max Simchowitz;Kevin Jamieson,http://arxiv.org/abs/1905.03814v1
Aligning Visual Regions and Textual Concepts for Semantic-Grounded Image Representations,Fenglin Liu;Yuanxin Liu;Xuancheng Ren;Xiaodong He;Kai Lei;Xu Sun,
Combinatorial Inference against Label Noise,Paul Hongsuck Seo;Geeho Kim;Bohyung Han,
A Mean Field Theory of Quantized Deep Networks: The Quantization-Depth Trade-Off,Yaniv Blumenfeld;Dar Gilboa;Daniel Soudry,
Beyond Confidence Regions: Tight Bayesian Ambiguity Sets for Robust MDPs,Marek Petrik;Reazul Hasan Russel,
On the Correctness and Sample Complexity of Inverse Reinforcement Learning,Abi Komanduru;Jean Honorio,
First Order Motion Model for Image Animation,Aliaksandr Siarohin;Stephane Lathuillere;Sergey Tulyakov;Elisa Ricci;Nicu Sebe,
Unsupervised Emergence of Egocentric Spatial Structure from Sensorimotor Prediction,Alban Laflaquière;Michael Garcia Ortiz,
Convolution with even-sized kernels and symmetric padding,Shuang Wu;Guanrui Wang;Pei Tang;Feng Chen;Luping Shi,http://arxiv.org/abs/1903.08385v2
PointDAN: A Multi-Scale 3D Domain Adaption Network for Point Cloud Representation,Can Qin;Haoxuan You;Lichen Wang;C.-C. Jay Kuo;Yun Fu,
ZO-AdaMM: Zeroth-Order Adaptive Momentum Method for Black-Box Optimization,Xiangyi Chen;Sijia Liu;Kaidi Xu;Xingguo Li;Xue Lin;Mingyi Hong;David Cox,
Escaping from saddle points on Riemannian manifolds,Yue Sun;Nicolas Flammarion;Maryam Fazel,http://arxiv.org/abs/1906.07355v1
Online sampling from log-concave distributions,Holden Lee;Oren Mangoubi;Nisheeth Vishnoi,
Envy-Free Classification,Maria-Florina Balcan;Travis Dick;Ritesh Noothigattu;Ariel Procaccia,
Estimating Convergence of Markov chains with L-Lag Couplings,Niloy Biswas;Pierre E Jacob;Paul Vanetti,
Localized Structured Prediction,Carlo Ciliberto;Francis Bach;Alessandro Rudi,
Modeling Tabular data using Conditional GAN,Lei Xu;Maria Skoularidou;Alfredo Cuesta Infante;Kalyan Veeramachaneni,
Model Compression with Adversarial Robustness: A Unified Optimization Framework,Shupeng Gui;Haotao N Wang;Haichuan Yang;Chen Yu;Zhangyang Wang;Ji Liu,
Foundations of Comparison-Based Hierarchical Clustering,Debarghya Ghoshdastidar;Michaël Perrot;Ulrike von Luxburg,http://arxiv.org/abs/1811.00928v2
Neuron Communication Networks,Jianwei Yang;Zhile Ren;Chuang Gan;Hongyuan Zhu;Ji Lin;Devi Parikh,
Neural Spline Flows,Conor Durkan;Artur Bekasov;Iain Murray;George Papamakarios,http://arxiv.org/abs/1906.04032v1
Regression Planning Networks,Danfei Xu;Roberto Martín-Martín;De-An Huang;Yuke Zhu;Silvio Savarese;Li Fei-Fei,
Latent Weights Do Not Exist: Rethinking Binarized Neural Network Optimization,Koen Helwegen;James Widdicombe;Lukas Geiger;Zechun Liu;Kwang-Ting Cheng;Roeland Nusselder,
Constrained Reinforcement Learning: A Dual Approach,Santiago Paternain;Luiz Chamon;Miguel Calvo-Fullana;Alejandro Ribeiro,
Distributional Policy Optimization: An Alternative Approach for Continuous Control,Chen Tessler;Guy Tennenholtz;Shie Mannor,
Globally Convergent Newton Methods for Ill-conditioned Generalized Self-concordant Losses,Ulysse Marteau-Ferey;Francis Bach;Alessandro Rudi,
Self-Routing Capsule Networks,Taeyoung Hahn;Myeongjang Pyeon;Gunhee Kim,
A Unifying Framework for Spectrum-Preserving Graph Sparsification and Coarsening,Gecia Bravo Hermsdorff;Lee Gunderson,
Sampling Sketches for Concave Sublinear Functions of Frequencies,Edith Cohen;Ofir Geri,http://arxiv.org/abs/1907.02218v1
LiteEval: A Coarse-to-Fine Framework for Resource Efficient Video Recognition,Zuxuan Wu;Caiming Xiong;Yu-Gang Jiang;Larry Davis,
Max-value Entropy Search for Multi-Objective Bayesian Optimization,Syrine Belakaria;Aryan Deshwal;Janardhan Rao Doppa,
A Model to Search for Synthesizable Molecules,John Bradshaw;Brooks Paige;Matt J Kusner;Marwin Segler;José Miguel Hernández-Lobato,
Deliberative Explanations: visualizing network insecurities,Pei Wang;Nuno Nvasconcelos,
Provably Efficient Q-Learning with Low Switching Cost,Yu Bai;Tengyang Xie;Nan Jiang;Yu-Xiang Wang,http://arxiv.org/abs/1905.12849v1
A Debiased MDI Feature Importance Measure for Random Forests,Xiao Li;Yu Wang;Sumanta Basu;Karl Kumbier;Bin Yu,http://arxiv.org/abs/1906.10845v1
Which Algorithmic Choices Matter at Which Batch Sizes?  Insights From a Noisy Quadratic Model,Guodong Zhang;Lala Li;Zachary Nado;James Martens;Sushant Sachdeva;George Dahl;Chris Shallue;Roger Grosse,
Failing Loudly: An Empirical Study of Methods for Detecting Dataset Shift,Stephan Rabanser;Stephan Günnemann;Zachary Lipton,
Manipulating a Learning Defender and Ways to Counteract,Jiarui Gan;Qingyu Guo;Long Tran-Thanh;Bo An;Michael Wooldridge,http://arxiv.org/abs/1905.11759v1
Provably Global Convergence of Actor-Critic: A Case for Linear Quadratic Regulator with Ergodic Cost,Zhuoran Yang;Yongxin Chen;Mingyi Hong;Zhaoran Wang,
Multiclass Learning from Contradictions,Sauptik Dhar;Vladimir Cherkassky;Mohak Shah,
 Generalized Off-Policy Actor-Critic,Shangtong Zhang;Wendelin Boehmer;Shimon Whiteson,
Online Normalization for Training Neural Networks,Vitaliy  Chiley;Ilya Sharapov;Atli Kosson;Urs Koster;Ryan Reece;Sofia Samaniego de la Fuente;Vishal Subbiah;Michael James,
An adaptive Mirror-Prox method for variational inequalities with singular operators,Kimon Antonakopoulos;Veronica Belmega;Panayotis Mertikopoulos,
Neural Diffusion Distance for Image Segmentation,Jian Sun;Zongben Xu,
Learning Deterministic Weighted Automata with Queries and Counterexamples,Gail Weiss;Yoav Goldberg;Eran Yahav,
Visualizing and Measuring the Geometry of BERT,Emily Reif;Ann Yuan;Martin Wattenberg;Fernanda B Viegas;Andy Coenen;Adam Pearce;Been Kim,
A Little Is Enough: Circumventing Defenses For Distributed Learning,Gilad Baruch;Moran Baruch;Yoav Goldberg,http://arxiv.org/abs/1902.06156v1
Extending Stein’s Unbiased Risk Estimator To Train Deep Denoisers with Correlated Pairs of Noisy Images,Magauiya Zhussip;Shakarim Soltanayev;Se Young Chun,
Modelling heterogeneous distributions with an Uncountable Mixture of Asymmetric Laplacians,Axel Brando;Jose A Rodriguez;Jordi Vitria;Alberto Rubio Muñoz,
Distributionally Robust Optimization and Generalization in Kernel Methods,Matthew Staib;Stefanie Jegelka,
Expressive power of tensor-network factorizations for probabilistic modelling,Ivan Glasser;Ryan Sweke;Nicola Pancotti;Jens Eisert;Ignacio Cirac,
Trivializations for Gradient-Based Optimization on Manifolds,Mario Lezcano Casado,
(Nearly) Efficient Algorithms for the Graph Matching Problem on Correlated Random Graphs,Boaz Barak;Chi-Ning Chou;Zhixian Lei;Tselil Schramm;Yueqi Sheng,
HyperGCN: A New Method For Training Graph Convolutional Networks on Hypergraphs,Naganand Yadati;Madhav Nimishakavi;Prateek Yadav;Vikram Nitin;Anand Louis;Partha Talukdar,
Online Continuous Submodular Maximization: From Full-Information to Bandit Feedback,Mingrui Zhang;Lin Chen;Hamed Hassani;Amin Karbasi,
A Deep Probabilistic Model for Compressing Low Resolution Videos,Salvator Lombardo;JUN HAN;Christopher Schroers;Stephan Mandt,
Unconstrained Monotonic Neural Networks,Antoine Wehenkel;Gilles Louppe,http://arxiv.org/abs/1908.05164v1
Latent Ordinary Differential Equations for Irregularly-Sampled Time Series,Yulia Rubanova;Tian Qi Chen;David Duvenaud,
Learning Imbalanced Datasets with Label-Distribution-Aware Margin Loss,Kaidi Cao;Colin Wei;Adrien Gaidon;Nikos Arechiga;Tengyu Ma,http://arxiv.org/abs/1906.07413v1
Explicit Explore-Exploit Algorithms in Continuous State Spaces,Mikael Henaff,
Language as an Abstraction for Hierarchical Deep Reinforcement Learning,YiDing Jiang;Shixiang (Shane) Gu;Kevin Murphy;Chelsea Finn,
Contextual Bandits with Cross-Learning,Santiago Balseiro;Negin Golrezaei;Mohammad Mahdian;Vahab Mirrokni;Jon Schneider,
D-VAE: A Variational Autoencoder for Directed Acyclic Graphs,Muhan Zhang;Shali Jiang;Zhicheng Cui;Roman Garnett;Yixin Chen,http://arxiv.org/abs/1904.11088v3
Random Tessellation Forests,Shufei Ge;Shijia Wang;Yee Whye Teh;Liangliang Wang;Lloyd Elliott,
Covariate-Powered Empirical Bayes Estimation,Nikolaos Ignatiadis;Stefan Wager,
Multivariate Sparse Coding of Nonstationary Covariances with Gaussian Processes,Rui Li,
Learning metrics for persistence-based summaries and applications for graph classification,Qi Zhao;Yusu Wang,
On the Ineffectiveness of Variance Reduced Optimization for Deep Learning,Aaron Defazio;Leon Bottou,
Convergence-Rate-Matching Discretization of Accelerated Optimization Flows Through Opportunistic State-Triggered Control,Miguel Vaquero;Jorge Cortes,
ResNets Ensemble via the Feynman-Kac Formalism to Improve Natural and Robust Accuracies,Bao Wang;Zuoqiang  Shi;Stanley Osher,
Multi-Agent Common Knowledge Reinforcement Learning,Christian Schroeder de Witt;Jakob Foerster;Gregory Farquhar;Philip Torr;Wendelin Boehmer;Shimon Whiteson,
Dying Experts: Efficient Algorithms with Optimal Regret Bounds,Hamid Shayestehmanesh;Sajjad Azami;Nishant Mehta,
Efficient Forward Architecture Search,Hanzhang Hu;John Langford;Rich Caruana;Saurajit Mukherjee;Eric J Horvitz;Debadeepta Dey,
Self-Supervised Generalisation with Meta Auxiliary Learning,Shikun Liu;Andrew Davison;Edward Johns,
Oracle-Efficient Algorithms for Online Linear Optimization with Bandit Feedback,Shinji Ito;Daisuke Hatano;Hanna Sumita;Kei Takemura;Takuro Fukunaga;Naonori Kakimura;Ken-Ichi Kawarabayashi,
Sequential Experimental Design for Transductive Linear Bandits,Lalit Jain;Kevin Jamieson;Tanner Fiez;Lillian Ratliff,http://arxiv.org/abs/1906.08399v1
Fast Sparse Group Lasso,Yasutoshi Ida;Yasuhiro Fujiwara;Hisashi Kashima,
Outlier-Robust High-Dimensional Sparse Estimation via Iterative Filtering,Ilias Diakonikolas;Daniel Kane;Sushrut Karmalkar;Eric Price;Alistair Stewart,
InteractiveRecGAN: a Model Based Reinforcement Learning Method with Adversarial Training for Online Recommendation,Xueying Bai;Jian Guan;Hongning Wang,
An Embedding Framework for Consistent Polyhedral Surrogates,Jessica Finocchiaro;Rafael Frongillo;Bo Waggoner,
Data-Dependence of Plateau Phenomenon in Learning with Neural Network --- Statistical Mechanical Analysis,Yuki Yoshida;Masato Okada,
High-Dimensional Optimization in Adaptive Random Subspaces,Jonathan Lacotte;Mert Pilanci;Marco Pavone,http://arxiv.org/abs/1906.11809v2
Superposition of many models into one,Brian Cheung;Alexander Terekhov;Yubei Chen;Pulkit Agrawal;Bruno Olshausen,
Coordinated hippocampal-entorhinal replay as structural inference,Talfan Evans;Neil Burgess,
How to Initialize your Network? Robust Initialization for WeightNorm & ResNets,Devansh Arpit;Víctor Campos;Yoshua Bengio,
Bias Correction of Learned Generative Models using Likelihood-Free Importance Weighting,Aditya Grover;Jiaming Song;Ashish Kapoor;Kenneth Tran;Alekh Agarwal;Eric J Horvitz;Stefano Ermon,
Levenshtein Transformer,Jiatao Gu;Changhan Wang;Junbo Zhao,
Multi-marginal Wasserstein GAN,Jiezhang Cao;Langyuan Mo;Yifan   Zhang;Kui Jia;Chunhua Shen;Mingkui Tan,
Meta Architecture Search,Albert Shaw;Wei Wei;Weiyang Liu;Le Song;Bo Dai,
Many-Armed Bandits with High-Dimensional Contexts under a Low-Rank Structure,Nima Hamidi;Mohsen Bayati;Kapil Gupta,
The Label Complexity of Active Learning from Observational Data,Songbai Yan;Kamalika Chaudhuri;Tara Javidi,http://arxiv.org/abs/1905.12791v1
Exact sampling of determinantal point processes with sublinear time preprocessing,Michal Derezinski;Daniele Calandriello;Michal Valko,
A Zero-Positive Learning Approach for Diagnosing Software Performance Regressions,Mejbah Alam;Justin Gottschlich;Nesime Tatbul;Javier Turek;Tim Mattson;Abdullah Muzahid,
Theoretical evidence for adversarial robustness through randomization,Rafael Pinot;Laurent Meunier;Alexandre Araujo;Hisashi Kashima;Florian Yger;Cedric Gouy-Pailler;Jamal Atif,
Meta-Learning Representations for Continual Learning,Khurram Javed;Martha White,http://arxiv.org/abs/1905.12588v1
Prediction of Spatial Point Processes: Regularized Method with Out-of-Sample Guarantees,Muhammad Osama;Dave Zachariah;Peter Stoica,
Debiased Bayesian inference for average treatment effects,Kolyan Ray;Botond Szabo,
Visualizing the PHATE of Neural Networks,Scott Gigante;Adam S Charles;Smita Krishnaswamy;Gal Mishne,
Learning to Confuse: Generating Training Time Adversarial Data with Auto-Encoder,Ji Feng;Qi-Zhi Cai;Zhi-Hua Zhou,
The Impact of Regularization on High-dimensional Logistic Regression,Fariborz Salehi;Ehsan Abbasi;Babak Hassibi,http://arxiv.org/abs/1906.03761v3
Nonconvex Low-Rank Tensor Completion from Noisy Data,Changxiao Cai;Gen Li;H. Vincent Poor;Yuxin Chen,
Screening Sinkhorn Algorithm for Regularized Optimal Transport,Mokthar Z. Alaya;Maxime Berar;Gilles Gasso;Alain Rakotomamonjy,
Towards Interpretable Reinforcement Learning Using Attention Augmented Agents,Alexander Mott;Daniel Zoran;Mike Chrzanowski;Daan Wierstra;Danilo Jimenez Rezende,
Theoretical Limits of Pipeline Parallel Optimization and Application to Distributed Deep Learning,Igor Colin;Ludovic DOS SANTOS;Kevin Scaman,
Channel Gating Neural Networks,Weizhe Hua;Yuan Zhou;Christopher De Sa;Zhiru Zhang;G. Edward Suh,
Structured Variational Inference in Continuous Cox Process Models,Virginia Aglietti;Edwin Bonilla;Theodoros Damoulas;Sally  Cripps,
Efficient Identification in Linear Structural Causal Models with Instrumental Cutsets,Daniel Kumor;Bryant Chen;Elias Bareinboim,
Control What You Can: Intrinsically Motivated Task-Planning Agent,Sebastian Blaes;Marin Vlastelica Pogančić;Jia-Jie Zhu;Georg Martius,http://arxiv.org/abs/1906.08190v1
Catastrophic Forgetting Meets Negative Transfer: Batch Spectral Shrinkage for Safe Transfer Learning,Xinyang Chen;Sinan Wang;Bo Fu;Mingsheng Long;Jianmin Wang,
Continuous Hierarchical Representations with Poincaré Variational Auto-Encoders ,Emile Mathieu;Charline Le Lan;Chris J. Maddison;Ryota Tomioka;Yee Whye Teh,
Beating SGD Saturation with Tail-Averaging  and Minibatching,Nicole Muecke;Gergely Neu;Lorenzo Rosasco,
Mapping State Space using Landmarks for Universal Goal Reaching,Zhiao Huang;Hao Su;Fangchen Liu,http://arxiv.org/abs/1908.05451v1
Curriculum-guided Hindsight Experience Replay,Meng Fang;Tianyi Zhou;Yali Du;Lei Han;Zhengyou Zhang,
Learning Hawkes Processes from a handful of events,Farnood Salehi;William Trouleau;Matthias Grossglauser;Patrick Thiran,
Random deep neural networks are biased towards simple functions,Giacomo De Palma;Bobak Kiani;Seth Lloyd,
"Accurate, reliable and fast robustness evaluation",Wieland Brendel;Jonas Rauber;Matthias Kümmerer;Ivan Ustyuzhaninov;Matthias Bethge,http://arxiv.org/abs/1907.01003v1
Sparse High-Dimensional Isotonic Regression,David Gamarnik;Julia Gaudio,http://arxiv.org/abs/1907.01715v1
CNN^{2}: Viewpoint Generalization via a Binocular Vision,Wei-Da Chen;Shan-Hung (Brandon) Wu,
Cross-Domain Transferable Perturbations,Muhammad Muzammal Naseer;Salman H Khan;Muhammad Haris Khan;Fahad Shahbaz Khan;Fatih Porikli,
Kernel quadrature with DPPs,Ayoub Belhadji;Rémi Bardenet;Pierre Chainais,http://arxiv.org/abs/1906.07832v1
Controlling Neural Level Sets,Matan Atzmon;Niv Haim;Lior Yariv;Ofer Israelov;Haggai Maron;Yaron Lipman,http://arxiv.org/abs/1905.11911v1
Stochastic Continuous Greedy ++:  When Upper and Lower Bounds Match,Amin Karbasi;Hamed Hassani;Aryan Mokhtari;Zebang Shen,
Learning nonlinear level sets for dimensionality reduction in function approximation,Guannan Zhang;Jiaxin Zhang;Jacob Hinkle,
The continuous Bernoulli: fixing a pervasive error in variational autoencoders,Gabriel Loaiza-Ganem;John Cunningham,
An Improved Analysis of Training Over-parameterized Deep Neural Networks,Difan Zou;Quanquan Gu,http://arxiv.org/abs/1906.04688v1
On Differentially Private Graph Sparsification and Applications,Raman Arora;Jalaj Upadhyay,
Shaping Belief States with Generative Environment Models for RL,Karol Gregor;Danilo Jimenez Rezende;Frederic Besse;Yan Wu;Hamza Merzic;Aaron van den Oord,http://arxiv.org/abs/1906.09237v2
Controllable Text to Image Generation,Bowen Li;Xiaojuan Qi;Thomas Lukasiewicz;Philip Torr,
Object landmark discovery through unsupervised adaptation,Enrique Sanchez;Georgios Tzimiropoulos,
Accelerating Rescaled Gradient Descent: Fast Optimization of Smooth Functions,Ashia Wilson;Lester Mackey;Andre Wibisono,
On Robustness to Adversarial Examples and Polynomial Optimization,Pranjal Awasthi;Abhratanu Dutta;Aravindan Vijayaraghavan,
Improving Textual Network Learning with Variational Homophilic Embeddings,Wenlin Wang;Chenyang Tao;Zhe Gan;Guoyin Wang;Liqun Chen;Xinyuan Zhang;Ruiyi Zhang;Qian Yang;Ricardo Henao;Lawrence Carin,
Using Embeddings to Correct for Unobserved Confounding in Networks,Victor Veitch;Yixin Wang;David Blei,
Rethinking Generative Coverage: A Pointwise Guaranteed Approach,Peilin Zhong;Yuchen Mo;Chang Xiao;Pengyu Chen;Changxi Zheng,
PolyTree framework for tree ensemble analysis,Igor Kuralenok;Vasilii Ershov;Igor Labutin,
Fully Neural Network based Model for General Temporal Point Processes,Takahiro Omi;naonori ueda;Kazuyuki Aihara,
An  Inexact Augmented Lagrangian Framework for Nonconvex Optimization with Nonlinear Constraints,Mehmet Fatih Sahin;Armin eftekhari;Ahmet Alacaoglu;Fabian Latorre Gomez;Volkan Cevher,
Universal Approximation of Input-Output Maps by Temporal Convolutional Nets,Joshua Hanson;Maxim Raginsky,
"Fast, Provably convergent IRLS Algorithm for p-norm Linear Regression",Deeksha Adil;Richard Peng;Sushant Sachdeva,http://arxiv.org/abs/1907.07167v1
Discrimination in Online Markets: Effects of Social Bias on Learning from Reviews and Policy Design,Faidra Georgia Monachou;Itai Ashlagi,
Integrating mechanistic and structural causal models enables counterfactual inference in complex systems,Robert Ness;Kaushal Paneri;Olga Vitek,
Consistent Constraint-Based Causal Structure Learning ,Honghao Li;Vincent Cabeli;Nadir Sella;Herve Isambert,
Computational Mirrors: Blind Inverse Light Transport by Deep Matrix Factorization,Miika Aittala;Prafull Sharma;Lukas Murmann;Adam Yedidia;Gregory Wornell;Bill Freeman;Fredo Durand,
Order Optimal One-Shot Distributed Learning,Arsalan Sharifnassab;Saber Salehkaleybar;S. Jamaloddin Golestani,
When to use parametric models in reinforcement learning?,Hado van Hasselt;Matteo Hessel;John Aslanides,
Untangling in Invariant Speech Recognition ,Cory Stephenson;Jenelle Feather;Suchismita Padhy;Oguz Elibol;Hanlin Tang;Josh McDermott;SueYeon Chung,
Information Competing Process for Learning Diversified Representations,Jie Hu;Rongrong Ji;ShengChuan Zhang;Xiaoshuai Sun;Qixiang Ye;Chia-Wen Lin;Qi Tian,http://arxiv.org/abs/1906.01288v1
Flexible information routing in neural populations through stochastic comodulation,Caroline Haimerl;Cristina Savin;Eero Simoncelli,
Categorized Bandits,Matthieu Jedor;Vianney Perchet;Jonathan Louedec,
Non-Asymptotic Pure Exploration by Solving Games,Rémy Degenne;Wouter Koolen;Pierre Ménard,
Online Stochastic Shortest Path with Bandit Feedback and Unknown Transition Function,Aviv Rosenberg;Yishay Mansour,
Reverse KL-Divergence Training of Prior Networks: Improved Uncertainty and Adversarial Robustness,Andrey Malinin;Mark Gales,
Explaining Landscape Connectivity of Low-cost Solutions for Multilayer Nets,Rohith Kuditipudi;Xiang Wang;Holden Lee;Yi Zhang;Zhiyuan Li;Wei Hu;Rong Ge;Sanjeev Arora,
Deep Leakage from Gradients,Ligeng Zhu;Zhijian Liu;Song Han,http://arxiv.org/abs/1906.08935v1
Partitioning Structure Learning for Segmented Linear Regression Trees,Xiangyu Zheng;Song Xi Chen,
Generating Diverse High-Fidelity Images with VQVAE-2,Ali Razavi;Aaron van den Oord;Oriol Vinyals,
Solving a Class of Non-Convex Min-Max Games Using Iterative First Order Methods,Maher Nouiehed;Maziar Sanjabi;Tianjian Huang;Jason Lee;Meisam Razaviyayn,
Computational Separations between Sampling and Optimization,Kunal Talwar,
Kernel Stein Tests for Multiple Model Comparison,Jen Ning Lim;Makoto Yamada;Bernhard Schölkopf;Wittawat Jitkrittum,
Semi-Parametric Efficient Policy Learning with Continuous Actions,Victor Chernozhukov;Mert Demirer;Greg Lewis;Vasilis Syrgkanis,
Precise and Scalable Convex Relaxations for Robustness Certification,Gagandeep Singh;Rupanshu Ganvir;Markus Püschel;Martin Vechev,
Flexible Modeling of Diversity with Strongly Log-Concave Distributions,Joshua Robinson;Suvrit Sra;Stefanie Jegelka,http://arxiv.org/abs/1906.05413v1
Disentangled behavioural representations,Amir Dezfouli;Hassan Ashtiani;Omar Ghattas;Richard Nock;Peter Dayan;Cheng Soon Ong,
Flattening a Hierarchical Clustering through Active Learning,Fabio Vitale;Anand Rajagopalan;Claudio Gentile,http://arxiv.org/abs/1906.09458v1
Kernel Truncated Randomized Ridge Regression: Optimal Rates and Low Noise Acceleration,Kwang-Sung Jun;Ashok Cutkosky;Francesco Orabona,
More Is Less: Learning Efficient Video Representations by Temporal Aggregation Module,Quanfu Fan;Chun-Fu (Richard) Chen;Hilde Kuehne;Marco Pistoia;David Cox,
Input-Output Equivalence of Unitary and Contractive RNNs,Melikasadat Emami;Mojtaba Sahraee Ardakan;Sundeep Rangan;Alyson Fletcher,
Multiple Futures Prediction,Charlie Tang;Russ Salakhutdinov,
Certifiable Robustness to Graph Perturbations,Aleksandar Bojchevski;Stephan Günnemann,
Low-Rank Bandit Methods for High-Dimensional Dynamic Pricing,Jonas Mueller;Vasilis Syrgkanis;Matt Taddy,http://arxiv.org/abs/1801.10242v2
Differential Privacy Has Disparate Impact on Model Accuracy,Eugene Bagdasaryan;Omid Poursaeed;Vitaly Shmatikov,
Hyper-Graph-Network Decoders for Block Codes,Eliya Nachmani;Lior Wolf,
Large Scale Markov Decision Processes with Changing Rewards,Adrian Rivera Cardoso;He Wang;Huan Xu,http://arxiv.org/abs/1905.10649v1
Semi-Parametric Dynamic Contextual Pricing,Virag Shah;Ramesh Johari;Jose Blanchet,http://arxiv.org/abs/1901.02045v4
Learning Deep MRFs with Amortized Bethe Free Energy Minimization,Sam Wiseman;Yoon Kim,
Imitation-Projected Policy Gradient for Programmatic Reinforcement Learning,Abhinav Verma;Hoang Le;Yisong Yue;Swarat Chaudhuri,
Information-Theoretic Confidence Bounds for Reinforcement Learning,Xiuyuan Lu;Benjamin Van Roy,
Training Image Estimators without Image Ground Truth,Zhihao Xia;Ayan Chakrabarti,
Re-randomized Densification for One Permutation Hashing and Bin-wise Consistent Weighted Sampling,Ping Li;Xiaoyun Li;Cun-Hui Zhang,
Perceiving the arrow of time in autoregressive motion,Kristof Meding;Dominik Janzing;Bernhard Schölkopf;Felix A. Wichmann,
SpiderBoost and Momentum: Faster Variance Reduction Algorithms,Zhe Wang;Kaiyi Ji;Yi Zhou;Yingbin Liang;Vahid Tarokh,
Statistical bounds for entropic optimal transport: sample complexity and the central limit theorem,Gonzalo Mena;Jonathan Niles-Weed,
Stochastic Proximal Langevin Algorithm: Potential Splitting and Nonasymptotic Rates,Adil SALIM;Dmitry Koralev;Peter Richtarik,
Graph-based Discriminators: Sample Complexity and Expressiveness,Roi Livni;Yishay Mansour,
Deep Structured Prediction for Facial Landmark Detection,Lisha Chen;Hui Su;Qiang Ji,
Large Memory Layers with Product Keys,Guillaume Lample;Alexandre Sablayrolles;Marc'Aurelio Ranzato;Ludovic Denoyer;Herve Jegou,
Who is Afraid of Big Bad Minima? Analysis of gradient-flow in spiked matrix-tensor models,Stefano Sarao Mannelli;Giulio Biroli;Chiara Cammarota;Florent Krzakala;Lenka Zdeborová,
Transfer Anomaly Detection by Inferring Latent Domain Representations,Atsutoshi Kumagai;Tomoharu Iwata;Yasuhiro Fujiwara,
Smoothing Structured Decomposable Circuits,Andy Shih;Guy Van den Broeck;Paul Beame;Antoine Amarilli,http://arxiv.org/abs/1906.00311v1
Counting the Optimal Solutions in Graphical Models,Radu Marinescu;Rina Dechter,
Total Least Squares Regression in Input Sparsity Time,Huaian Diao;Zhao Song;David Woodruff;Xin Yang,
Park: An Open Platform for Learning-Augmented Computer Systems,Hongzi Mao;Parimarjan Negi;Akshay Narayan;Hanrui Wang;Jiacheng Yang;Haonan Wang;Ryan Marcus;ravichandra addanki;Mehrdad Khani Shirkoohi;Songtao He;Vikram Nathan;Frank Cangialosi;Shaileshh Venkatakrishnan;Wei-Hung Weng;Song Han;Tim Kraska;Dr.Mohammad Alizadeh,
Adapting Neural Networks for the Estimation of Treatment Effects,Claudia Shi;David Blei;Victor Veitch,
Recovering Bandits,Ciara Pike-Burke;Steffen Grunewalder,
Learning Transferable Graph Exploration,Hanjun Dai;Yujia Li;Chenglong Wang;Rishabh Singh;Po-Sen Huang;Pushmeet Kohli,
Positive-Unlabeled Compression on the Cloud,Yixing Xu;Yunhe Wang;Hanting Chen;Kai Han;Chunjing XU;Dacheng Tao;Chang Xu,
Third-Person Visual Imitation Learning via Decoupled Hierarchical Control,Pratyusha Sharma;Deepak Pathak;Abhinav Gupta,
